FECHA_DESEMBOLSO,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,IFI,TIPO_IFI,MONTO_CREDITO,MONTO_CUOTA_INICIAL,PLAZOS,TASA,MONTO_VALOR_VIVIENDA,MONTO_BBP_SOSTENIBLE,GRADO_BONO_SOSTENIBLE,FECHA_CORTE
20220113,LAMBAYEQUE,CHICLAYO,PIMENTEL,140112,CREDITO,BANCO,151209.00,30902.00,180.00,8.20,206011.00,23900.00,3,20230525
20220118,LIMA,LIMA,COMAS,150110,CONTINENTAL,BANCO,130000.00,50000.00,240.00,7.35,203900.00,23900.00,3,20230525
20220118,CALLAO,CALLAO,CALLAO,070101,INTERBANK,BANCO,171138.55,21670.00,288.00,7.80,216700.00,23900.00,3,20230525
20220118,LIMA,LIMA,RIMAC,150128,CREDITO,BANCO,56400.00,25000.00,240.00,9.45,107000.00,25600.00,3,20230525
20220118,PIURA,PIURA,PIURA,200101,CREDITO,BANCO,96070.00,13330.00,180.00,8.20,133300.00,23900.00,3,20230525
20220118,LIMA,LIMA,RIMAC,150128,BANBIF,BANCO,57880.00,54520.00,120.00,7.95,136300.00,23900.00,3,20230525
20220118,ICA,ICA,ICA,110101,BANBIF,BANCO,106813.30,20024.00,240.00,9.65,150737.30,23900.00,2,20230525
20220118,LIMA,LIMA,ATE,150103,BANBIF,BANCO,104100.00,80000.00,120.00,7.95,208000.00,23900.00,3,20230525
20220120,LIMA,LIMA,SAN MIGUEL,150136,SCOTIABANK,BANCO,168506.50,21378.60,240.00,7.80,213785.10,23900.00,3,20230525
20220120,LAMBAYEQUE,CHICLAYO,MONSEFU,140108,BANCO PICHINCHA,BANCO,153259.00,21650.00,192.00,9.00,198809.00,23900.00,2,20230525
20220120,LAMBAYEQUE,CHICLAYO,PIMENTEL,140112,BANCO PICHINCHA,BANCO,169204.00,21456.00,120.00,8.00,214560.00,23900.00,3,20230525
20220120,LIMA,LIMA,ATE,150103,BANCO PICHINCHA,BANCO,155200.00,19900.00,240.00,9.80,199000.00,23900.00,1,20230525
20220120,LIMA,LIMA,COMAS,150110,CONTINENTAL,BANCO,70890.00,8000.00,300.00,7.35,104490.00,25600.00,3,20230525
20220120,LIMA,LIMA,PUEBLO LIBRE,150121,CONTINENTAL,BANCO,153511.00,19712.00,180.00,8.50,197123.00,23900.00,2,20230525
20220120,CALLAO,CALLAO,CALLAO,070101,CONTINENTAL,BANCO,156940.00,24660.00,239.00,7.38,205500.00,23900.00,3,20230525
20220120,LIMA,LIMA,RIMAC,150128,CREDITO,BANCO,161145.00,32655.00,240.00,8.00,217700.00,23900.00,3,20230525
20220120,LIMA,LIMA,RIMAC,150128,CREDITO,BANCO,72680.00,10920.00,240.00,8.80,109200.00,25600.00,3,20230525
20220120,ICA,ICA,ICA,110101,BANBIF,BANCO,109276.84,20575.21,240.00,8.90,153752.05,23900.00,2,20230525
20220120,ICA,ICA,ICA,110101,BANBIF,BANCO,83569.75,19130.25,120.00,9.20,128300.00,25600.00,2,20230525
20220120,ICA,ICA,LA TINGUINIA,110102,BANBIF,BANCO,111052.00,15000.00,120.00,8.90,149952.00,23900.00,1,20230525
20220120,ICA,ICA,ICA,110101,BANBIF,BANCO,82070.00,20630.00,180.00,8.55,128300.00,25600.00,2,20230525
20220120,LIMA,LIMA,RIMAC,150128,CREDITO,BANCO,50840.00,32760.00,180.00,9.00,109200.00,25600.00,3,20230525
20220120,LA LIBERTAD,TRUJILLO,HUANCHACO,130104,CREDITO,BANCO,160600.00,20500.00,204.00,7.50,205000.00,23900.00,3,20230525
20220120,PIURA,PIURA,CASTILLA,200104,CREDITO,BANCO,83190.00,19200.00,180.00,8.20,127990.00,25600.00,3,20230525
20220120,LIMA,LIMA,COMAS,150110,CREDITO,BANCO,142275.00,29325.00,240.00,8.20,195500.00,23900.00,3,20230525
20220120,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,140105,CREDITO,BANCO,169590.00,21500.00,240.00,8.00,214990.00,23900.00,3,20230525
20220120,LIMA,LIMA,RIMAC,150128,CREDITO,BANCO,116680.00,15620.00,240.00,8.20,156200.00,23900.00,3,20230525
20220120,LAMBAYEQUE,CHICLAYO,PIMENTEL,140112,CREDITO,BANCO,151191.50,30898.50,240.00,8.20,205990.00,23900.00,3,20230525
20220120,AREQUIPA,AREQUIPA,CERRO COLORADO,040104,CREDITO,BANCO,172300.00,21800.00,240.00,8.20,218000.00,23900.00,2,20230525
20220120,ICA,ICA,LA TINGUINIA,110102,BANBIF,BANCO,136211.10,28254.90,240.00,8.90,188366.00,23900.00,1,20230525
20220121,LIMA,LIMA,EL AGUSTINO,150111,INTERBANK,BANCO,142747.10,41660.00,240.00,8.40,208300.00,23900.00,3,20230525
20220121,LIMA,LIMA,EL AGUSTINO,150111,INTERBANK,BANCO,163938.15,20870.00,240.00,8.00,208700.00,23900.00,3,20230525
20220121,LIMA,LIMA,COMAS,150110,CREDITO,BANCO,121380.00,36320.00,240.00,7.50,181600.00,23900.00,3,20230525
20220121,PIURA,PIURA,PIURA,200101,CREDITO,BANCO,58400.00,36000.00,180.00,8.20,120000.00,25600.00,3,20230525
20220121,LIMA,LIMA,LURIN,150119,CREDITO,BANCO,120100.00,16000.00,240.00,9.50,160000.00,23900.00,1,20230525
20220121,LIMA,LIMA,ATE,150103,CREDITO,BANCO,113174.00,58746.00,240.00,8.30,195820.00,23900.00,3,20230525
20220121,LIMA,LIMA,RIMAC,150128,CREDITO,BANCO,152950.00,19650.00,240.00,8.00,196500.00,23900.00,3,20230525
20220121,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,140105,CREDITO,BANCO,85665.00,19635.00,120.00,8.20,130900.00,25600.00,3,20230525
20220121,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,140105,CREDITO,BANCO,144816.00,29774.00,180.00,8.20,198490.00,23900.00,3,20230525
20220121,LIMA,LIMA,RIMAC,150128,CREDITO,BANCO,72680.00,10920.00,300.00,8.00,109200.00,25600.00,3,20230525
20220121,CALLAO,CALLAO,CALLAO,070101,BANCO PICHINCHA,BANCO,116200.00,40900.00,132.00,8.50,181000.00,23900.00,3,20230525
20220121,CALLAO,CALLAO,CALLAO,070101,BANCO PICHINCHA,BANCO,138100.00,18100.00,240.00,8.50,180100.00,23900.00,3,20230525
20220121,LIMA,LIMA,COMAS,150110,BANCO PICHINCHA,BANCO,114700.00,15400.00,240.00,8.50,154000.00,23900.00,3,20230525
20220121,CALLAO,CALLAO,CALLAO,070101,INTERBANK,BANCO,170508.50,21600.00,240.00,8.30,216000.00,23900.00,3,20230525
20220121,JUNIN,HUANCAYO,EL TAMBO,120114,CMAC HUANCAYO,CMAC,99600.00,26000.00,240.00,9.70,149500.00,23900.00,2,20230525
20220121,LIMA,LIMA,RIMAC,150128,CREDITO,BANCO,136210.00,17790.00,240.00,8.20,177900.00,23900.00,3,20230525
20220131,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,140105,CREDITO,BANCO,92600.00,20600.00,180.00,8.20,137100.00,23900.00,3,20230525
